0,1,2,3,4,5,6,7,8,9
-0.09190519,-2.7280855,-3.240502,-1.3826703,-2.7974865,-2.747605,-3.0801857,-2.9091237,-2.6593795,-2.9875467
-3.7182732,-0.4498255,-3.4795244,-2.749609,-3.0258536,-2.2089055,-2.9827375,-1.1386112,-2.3256798,-2.945904
-2.8725538,-2.5477433,-0.39394608,-2.7119586,-2.578321,-2.3595707,-1.075386,-2.7899845,-1.8501725,-2.6474764
-3.2819371,-1.0256512,-3.283503,-0.35295472,-2.950956,-2.3308895,-2.8025205,-3.1008728,-2.8884428,-3.140137
-3.1623325,-2.9072785,-2.9952335,-3.2546825,-0.25716835,-2.8654957,-3.1855505,-2.5160801,-2.897983,-0.8838816
-3.297541,-0.93778664,-3.1418583,-3.0930712,-3.3477507,-0.5785251,-3.2688942,-2.7994628,-3.0715473,-2.8992004
-3.4277875,-2.7346041,-3.085818,-1.4757749,-3.2699645,-3.3044894,-0.20330563,-3.1060266,-3.503229,-3.2164562
-2.9756534,-1.1667932,-3.0313907,-3.0035036,-2.6123807,-2.5635939,-2.7267966,-0.1512388,-2.1411357,-2.8695192
-3.3254542,-2.8685582,-3.1379795,-3.2042658,-2.8545756,-0.87925076,-2.888521,-2.731449,-0.27035457,-2.8034484
-3.6726348,-3.3494287,-3.4548426,-3.4290543,-2.550737,-0.9131017,-3.263696,-3.3301105,-3.11212,-0.24816535
