,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
M1,0.031150466,0.00039716793,0.0014594565,0.004449907,0.0014179024,0.00046768688,9.69181e-05,0.00055280497,0.00036672302,0.00070429186
M2,9.830679e-05,0.006969044,0.0003246666,0.00011165068,0.0005992207,0.001040408,0.00010820709,0.007773851,0.0002938744,0.0001692876
M3,0.00073356455,0.0003107751,0.044422407,0.000379338,0.0013782827,0.000542313,0.0034603938,0.0011775086,0.00092134485,0.0006128022
M4,0.00012987058,0.0041477596,0.0004481662,0.010780692,0.0007223463,0.0005188111,0.00019095062,0.00021970754,0.00022826908,0.00021245005
M5,0.00027407962,0.00022130374,0.0010777555,0.00016671073,0.048398253,0.0004022213,9.8760174e-05,0.00082403986,0.00025962177,0.010807702
M6,0.00021293593,0.00422502,0.00078751903,0.0001596197,0.0006623582,0.008497121,9.7190845e-05,0.00050069223,0.00038503096,0.00057025236
M7,0.00024611468,0.0005970076,0.0022539236,0.004283151,0.00050410524,0.00023502213,0.007137246,0.00036328033,0.00018078348,0.00030190396
M8,0.00041144527,0.0053154784,0.0011769222,0.0005453666,0.0021330765,0.0004005739,0.00017583082,0.03200345,0.00047289388,0.0006208431
M9,0.00019672442,0.00020723033,0.0012028952,0.0002194068,0.00092459685,0.010314207,0.00015803274,0.00060093694,0.032239858,0.00034952263
M10,7.7137665e-05,0.00012726641,0.0004430866,6.966679e-05,0.001195876,0.008948086,6.7116e-05,0.00018877031,0.00031229993,0.027598865
