,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
M1,-1.7854406,-4.675578,-4.052612,-2.8350341,-4.0145874,-4.456687,-5.2422714,-4.3923106,-4.4929533,-4.571312
M2,-5.285991,-2.514416,-4.6264567,-5.243259,-4.4886065,-4.0249033,-5.1371446,-2.5072296,-4.636141,-5.1613417
M3,-4.3282886,-4.726754,-1.7574235,-4.520886,-4.0125327,-4.4186077,-2.915822,-3.9653373,-4.066699,-4.560565
M4,-5.233376,-2.7961862,-4.5360527,-2.3423266,-4.516208,-4.182906,-4.5832086,-4.914157,-4.8172154,-5.0421796
M5,-4.6743474,-4.838573,-4.048347,-5.04991,-1.726917,-4.447186,-5.2969775,-4.1890445,-4.6712337,-2.452525
M6,-5.079594,-2.7864463,-4.354018,-4.9719343,-4.397852,-2.4476535,-5.1749105,-4.44856,-4.480627,-4.6984334
M7,-5.068111,-4.2033443,-3.3368049,-2.8231795,-4.5054913,-4.6942105,-2.4931724,-4.4498453,-4.814232,-4.9452367
M8,-4.6230597,-2.7008038,-4.0738034,-4.323819,-3.9437733,-4.5672894,-5.0296364,-1.810605,-4.481637,-4.5330687
M9,-5.01527,-4.8394623,-4.03059,-4.8726783,-4.218697,-2.4228902,-4.91804,-4.413777,-1.752771,-4.758308
M10,-5.3762326,-4.986189,-4.594916,-5.47277,-3.9445586,-2.4623215,-5.408063,-4.7706747,-4.6543427,-1.9741144
