,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
M1,0.17766447,0.015311014,0.0291755,0.064884365,0.029178519,0.01784773,0.008041325,0.01911168,0.016295092,0.019094614
M2,0.007977291,0.084232226,0.014716114,0.008531379,0.019070636,0.02757354,0.00873085,0.087571576,0.014321884,0.0098203365
M3,0.020865543,0.01406994,0.19954583,0.016054546,0.029219955,0.018851386,0.05810783,0.02819944,0.025386276,0.018476665
M4,0.008709212,0.06437693,0.01672195,0.10333295,0.019892402,0.019974623,0.012758847,0.011894978,0.01246363,0.011075067
M5,0.013702781,0.011979947,0.02713673,0.010331627,0.20609602,0.01665773,0.0079094805,0.023793628,0.013713962,0.09771583
M6,0.010638642,0.06490566,0.021786224,0.010317123,0.02011388,0.09180226,0.008256934,0.018170292,0.016642245,0.017422142
M7,0.011291409,0.020316873,0.04309568,0.064483225,0.017685968,0.013092326,0.08595214,0.016705718,0.011478865,0.012397652
M8,0.015835177,0.07194248,0.027015409,0.019542845,0.03469404,0.016152183,0.010659721,0.17824803,0.017744103,0.018670492
M9,0.0108471215,0.0117663015,0.027514938,0.012016468,0.023688978,0.09806349,0.0107675595,0.019621566,0.18295485,0.014314061
M10,0.007087771,0.009607805,0.016643716,0.0067689926,0.028618826,0.092613555,0.006887343,0.011922505,0.014578213,0.15827571
