,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
M1,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773
M2,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773
M3,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773
M4,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773
M5,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773
M6,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773
M7,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773
M8,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773
M9,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773
M10,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773,1.5435773
